lotID,blockID,lotArea,floorArea,tcp,rf,hdmfMax,type,status
1,1,100.0,81.0,5756458.0,50000.0,6000000.0,Callista,Available
2,1,75.0,54.0,3453000.0,30000.0,6000000.0,AlliyahOuter,Available
3,1,75.0,54.0,3454500.0,30000.0,6000000.0,AlliyahOuter,Available
4,1,75.0,54.0,3456000.0,30000.0,6000000.0,AlliyahOuter,Available
5,1,100.0,81.0,5761458.0,50000.0,6000000.0,Callista,Available
6,1,75.0,54.0,3459000.0,30000.0,6000000.0,AlliyahOuter,Available
7,1,50.0,54.0,3173241.0,20000.0,6000000.0,AlliyahInner,Available
8,1,50.0,54.0,3174241.0,20000.0,6000000.0,AlliyahInner,Available
9,1,50.0,54.0,3175241.0,20000.0,6000000.0,AlliyahInner,Available
10,1,75.0,54.0,3465000.0,30000.0,6000000.0,AlliyahOuter,Available
11,1,75.0,54.0,3466500.0,30000.0,6000000.0,AlliyahOuter,Available
12,1,50.0,54.0,3178241.0,20000.0,6000000.0,AlliyahInner,Available
13,1,50.0,54.0,3179241.0,20000.0,6000000.0,AlliyahInner,Available
14,1,50.0,54.0,3180241.0,20000.0,6000000.0,AlliyahInner,Available
15,1,75.0,54.0,3472500.0,30000.0,6000000.0,AlliyahOuter,Available
16,1,100.0,81.0,5775208.0,50000.0,6000000.0,Callista,Available
17,1,75.0,54.0,3475500.0,30000.0,6000000.0,AlliyahOuter,Available
18,1,75.0,54.0,3477000.0,30000.0,6000000.0,AlliyahOuter,Available
19,1,75.0,54.0,3478500.0,30000.0,6000000.0,AlliyahOuter,Available
20,1,100.0,81.0,5780208.0,50000.0,6000000.0,Callista,Available
21,2,100.0,81.0,5781458.0,50000.0,6000000.0,Callista,Available
22,2,75.0,54.0,3483000.0,30000.0,6000000.0,AlliyahOuter,Available
23,2,75.0,54.0,3484500.0,30000.0,6000000.0,AlliyahOuter,Available
24,2,75.0,54.0,3486000.0,30000.0,6000000.0,AlliyahOuter,Available
25,2,100.0,81.0,5786458.0,50000.0,6000000.0,Callista,Available
26,2,75.0,54.0,3489000.0,30000.0,6000000.0,AlliyahOuter,Available
27,2,50.0,54.0,3193241.0,20000.0,6000000.0,AlliyahInner,Available
28,2,50.0,54.0,3194241.0,20000.0,6000000.0,AlliyahInner,Available
29,2,50.0,54.0,3195241.0,20000.0,6000000.0,AlliyahInner,Available
30,2,75.0,54.0,3495000.0,30000.0,6000000.0,AlliyahOuter,Available
31,2,75.0,54.0,3496500.0,30000.0,6000000.0,AlliyahOuter,Available
32,2,50.0,54.0,3198241.0,20000.0,6000000.0,AlliyahInner,Available
33,2,50.0,54.0,3199241.0,20000.0,6000000.0,AlliyahInner,Available
34,2,50.0,54.0,3200241.0,20000.0,6000000.0,AlliyahInner,Available
35,2,75.0,54.0,3502500.0,30000.0,6000000.0,AlliyahOuter,Available
36,2,100.0,81.0,5800208.0,50000.0,6000000.0,Callista,Available
37,2,75.0,54.0,3505500.0,30000.0,6000000.0,AlliyahOuter,Available
38,2,75.0,54.0,3507000.0,30000.0,6000000.0,AlliyahOuter,Available
39,2,75.0,54.0,3508500.0,30000.0,6000000.0,AlliyahOuter,Available
40,2,100.0,81.0,5805208.0,50000.0,6000000.0,Callista,Available
41,3,100.0,81.0,5806458.0,50000.0,6000000.0,Callista,Available
42,3,75.0,54.0,3513000.0,30000.0,6000000.0,AlliyahOuter,Available
43,3,75.0,54.0,3514500.0,30000.0,6000000.0,AlliyahOuter,Available
44,3,75.0,54.0,3516000.0,30000.0,6000000.0,AlliyahOuter,Available
45,3,100.0,81.0,5811458.0,50000.0,6000000.0,Callista,Available
46,3,75.0,54.0,3519000.0,30000.0,6000000.0,AlliyahOuter,Available
47,3,50.0,54.0,3213241.0,20000.0,6000000.0,AlliyahInner,Available
48,3,50.0,54.0,3214241.0,20000.0,6000000.0,AlliyahInner,Available
49,3,50.0,54.0,3215241.0,20000.0,6000000.0,AlliyahInner,Available
50,3,75.0,54.0,3525000.0,30000.0,6000000.0,AlliyahOuter,Available
51,3,75.0,54.0,3526500.0,30000.0,6000000.0,AlliyahOuter,Available
52,3,50.0,54.0,3218241.0,20000.0,6000000.0,AlliyahInner,Available
53,3,50.0,54.0,3219241.0,20000.0,6000000.0,AlliyahInner,Available
54,3,50.0,54.0,3220241.0,20000.0,6000000.0,AlliyahInner,Available
55,3,75.0,54.0,3532500.0,30000.0,6000000.0,AlliyahOuter,Available
56,3,100.0,81.0,5825208.0,50000.0,6000000.0,Callista,Available
57,3,75.0,54.0,3535500.0,30000.0,6000000.0,AlliyahOuter,Available
58,3,75.0,54.0,3537000.0,30000.0,6000000.0,AlliyahOuter,Available
59,3,75.0,54.0,3538500.0,30000.0,6000000.0,AlliyahOuter,Available
60,3,100.0,81.0,5830208.0,50000.0,6000000.0,Callista,Available
61,4,100.0,81.0,5831458.0,50000.0,6000000.0,Callista,Available
62,4,75.0,54.0,3543000.0,30000.0,6000000.0,AlliyahOuter,Available
63,4,75.0,54.0,3544500.0,30000.0,6000000.0,AlliyahOuter,Available
64,4,75.0,54.0,3546000.0,30000.0,6000000.0,AlliyahOuter,Available
65,4,100.0,81.0,5836458.0,50000.0,6000000.0,Callista,Available
66,4,75.0,54.0,3549000.0,30000.0,6000000.0,AlliyahOuter,Available
67,4,50.0,54.0,3233241.0,20000.0,6000000.0,AlliyahInner,Available
68,4,50.0,54.0,3234241.0,20000.0,6000000.0,AlliyahInner,Available
69,4,50.0,54.0,3235241.0,20000.0,6000000.0,AlliyahInner,Available
70,4,75.0,54.0,3555000.0,30000.0,6000000.0,AlliyahOuter,Available
71,4,75.0,54.0,3556500.0,30000.0,6000000.0,AlliyahOuter,Available
72,4,50.0,54.0,3238241.0,20000.0,6000000.0,AlliyahInner,Available
73,4,50.0,54.0,3239241.0,20000.0,6000000.0,AlliyahInner,Available
74,4,50.0,54.0,3240241.0,20000.0,6000000.0,AlliyahInner,Available
75,4,75.0,54.0,3562500.0,30000.0,6000000.0,AlliyahOuter,Available
76,4,100.0,81.0,5850208.0,50000.0,6000000.0,Callista,Available
77,4,75.0,54.0,3565500.0,30000.0,6000000.0,AlliyahOuter,Available
78,4,75.0,54.0,3567000.0,30000.0,6000000.0,AlliyahOuter,Available
79,4,75.0,54.0,3568500.0,30000.0,6000000.0,AlliyahOuter,Available
80,4,100.0,81.0,5855208.0,50000.0,6000000.0,Callista,Available
81,5,100.0,81.0,5856458.0,50000.0,6000000.0,Callista,Available
82,5,75.0,54.0,3573000.0,30000.0,6000000.0,AlliyahOuter,Available
83,5,75.0,54.0,3574500.0,30000.0,6000000.0,AlliyahOuter,Available
84,5,75.0,54.0,3576000.0,30000.0,6000000.0,AlliyahOuter,Available
85,5,100.0,81.0,5861458.0,50000.0,6000000.0,Callista,Available
86,5,75.0,54.0,3579000.0,30000.0,6000000.0,AlliyahOuter,Available
87,5,50.0,54.0,3253241.0,20000.0,6000000.0,AlliyahInner,Available
88,5,50.0,54.0,3254241.0,20000.0,6000000.0,AlliyahInner,Available
89,5,50.0,54.0,3255241.0,20000.0,6000000.0,AlliyahInner,Available
90,5,75.0,54.0,3585000.0,30000.0,6000000.0,AlliyahOuter,Available
91,5,75.0,54.0,3586500.0,30000.0,6000000.0,AlliyahOuter,Available
92,5,50.0,54.0,3258241.0,20000.0,6000000.0,AlliyahInner,Available
93,5,50.0,54.0,3259241.0,20000.0,6000000.0,AlliyahInner,Available
94,5,50.0,54.0,3260241.0,20000.0,6000000.0,AlliyahInner,Available
95,5,75.0,54.0,3592500.0,30000.0,6000000.0,AlliyahOuter,Available
96,5,100.0,81.0,5875208.0,50000.0,6000000.0,Callista,Available
97,5,75.0,54.0,3595500.0,30000.0,6000000.0,AlliyahOuter,Available
98,5,75.0,54.0,3597000.0,30000.0,6000000.0,AlliyahOuter,Available
99,5,75.0,54.0,3598500.0,30000.0,6000000.0,AlliyahOuter,Available
100,5,100.0,81.0,5880208.0,50000.0,6000000.0,Callista,Available
